# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
0 0 1.07647e-30 8.13513e-31 1.88998e-30
100 0.256443 0.230722 0.215394 0.702559
200 0.318425 0.262449 0.321005 0.901879
300 0.329216 0.411 0.346035 1.08625
400 0.315966 0.323064 0.291447 0.930477
500 0.36324 0.333309 0.317883 1.01443
600 0.454814 0.400159 0.36217 1.21714
700 0.403761 0.407286 0.318427 1.12947
800 0.32824 0.342138 0.372265 1.04264
900 0.378041 0.388634 0.397267 1.16394
1000 0.478476 0.316607 0.459213 1.2543
1100 0.498534 0.311939 0.387409 1.19788
1200 0.365017 0.338997 0.429485 1.1335
1300 0.468636 0.3378 0.457189 1.26362
1400 0.455937 0.394745 0.477692 1.32837
1500 0.452918 0.400729 0.535779 1.38943
1600 0.453462 0.354607 0.505679 1.31375
1700 0.358402 0.340208 0.436481 1.13509
1800 0.42896 0.46781 0.412776 1.30955
1900 0.401991 0.357842 0.405278 1.16511
2000 0.325319 0.411221 0.384663 1.1212
2100 0.374316 0.392665 0.395179 1.16216
2200 0.31968 0.350676 0.377638 1.04799
2300 0.335469 0.352663 0.434257 1.12239
2400 0.389994 0.311706 0.329604 1.0313
2500 0.301089 0.311575 0.331621 0.944285
2600 0.36434 0.330013 0.396488 1.09084
2700 0.349028 0.299413 0.369746 1.01819
2800 0.334039 0.282772 0.373768 0.990578
2900 0.42911 0.374365 0.39619 1.19967
3000 0.628178 0.483041 0.446692 1.55791
3100 0.496782 0.449909 0.572494 1.51919
3200 0.400215 0.310651 0.471863 1.18273
3300 0.432835 0.296408 0.541476 1.27072
3400 0.465243 0.392761 0.571246 1.42925
3500 0.531993 0.570215 0.761868 1.86408
3600 0.558046 0.633568 0.846674 2.03829
3700 0.641519 0.605044 0.821623 2.06819
3800 0.895058 0.594546 0.876745 2.36635
3900 0.803105 0.642517 0.94355 2.38917
4000 0.779412 0.687005 0.942429 2.40885
4100 0.873665 0.645892 0.888641 2.4082
4200 1.01615 0.66515 1.12606 2.80736
4300 1.04533 0.797014 1.04266 2.885
4400 1.27231 0.895899 1.35315 3.52136
4500 1.17653 0.912689 1.30631 3.39553
4600 1.09346 1.12251 1.49668 3.71266
4700 1.3608 1.04309 1.53121 3.93509
4800 1.48331 1.14267 1.60141 4.22739
4900 1.48628 1.05404 1.52466 4.06498
5000 1.49696 1.29255 1.78879 4.57829
5100 1.64139 1.29229 2.05469 4.98837
5200 1.82574 1.40672 1.91223 5.14469
5300 2.02187 1.48403 2.46314 5.96904
5400 2.0617 1.48937 2.33632 5.88738
5500 1.96803 1.51826 2.63807 6.12437
5600 2.0269 1.5409 2.3605 5.92831
5700 2.25702 1.65062 2.32513 6.23277
5800 2.30287 1.69925 2.31408 6.3162
5900 2.19344 1.76139 2.28725 6.24208
6000 2.3485 1.95889 2.35677 6.66416
6100 2.17246 2.16302 2.40417 6.73965
6200 2.08044 2.04937 2.26547 6.39528
6300 2.35131 2.06818 2.47215 6.89164
6400 2.31435 2.07295 2.46571 6.85301
6500 2.47187 1.94041 2.60248 7.01477
6600 2.41596 2.12841 2.62589 7.17026
6700 2.46843 2.22696 2.44536 7.14075
6800 2.39242 2.00209 2.62463 7.01915
6900 2.60688 2.10833 2.43998 7.15518
7000 2.59582 2.10803 2.59612 7.29997
7100 2.33381 1.99692 2.65637 6.9871
7200 2.37371 2.33706 2.74341 7.45418
7300 2.37408 2.16466 2.69908 7.23783
7400 2.34808 2.10078 2.49311 6.94198
7500 2.46165 2.25792 2.57 7.28957
7600 2.63066 2.073 2.57115 7.27481
7700 2.46689 2.13078 2.60599 7.20367
7800 2.54315 2.06017 2.37203 6.97535
7900 2.44452 2.21562 2.48655 7.14669
8000 2.63477 2.16182 2.50063 7.29722
8100 2.36478 2.21569 2.66151 7.24197
8200 2.60582 1.95937 2.56168 7.12687
8300 2.61349 2.12579 2.61031 7.34959
8400 2.86526 2.35565 2.73221 7.95312
8500 2.89707 2.19994 2.66529 7.76231
8600 2.58266 2.13976 2.75716 7.47958
8700 2.59165 2.22771 2.59215 7.41151
8800 2.47024 2.31772 2.64094 7.4289
8900 2.72916 2.13381 2.73192 7.59489
